year,age,race,sex,marital,educ,degree,sibs,agekdbrn,coninc,region,partyid,wrkstat,hrs1,earnrs,happy,health,relig,attend,postlife,socrel,news,tvhours,satjob,class,satfin,polviews,confinan,conbus,conclerg,coneduc,confed,conlabor,conpress,conmedic,contv,conjudge,consci,conlegis,conarmy,fear,owngun,hunt,gunlaw,grass,courts,fepol,fefam,fehire,vote_last_pres_election
2018,53,black,male,married,16,bachelor's,5,32,70100,midwest,"independent, close to democrat",working full time,60,2,very happy,excellent,protestant,2-3 times a month,yes,iap,iap,NA,very satisfied,middle class,more or less satisfied,"moderate, middle of the road",only some,only some,a great deal,a great deal,hardly any,only some,only some,a great deal,only some,a great deal,a great deal,hardly any,a great deal,no,yes,"no, neither r nor spouse hunts",favor,should be legal,not harshly enough,iap,iap,iap,voted
1998,21,white,female,never married,12,high school,3,20,40124,northeast,"independent (neither, no response)",keeping house,NA,1,pretty happy,excellent,none,never,iap,iap,iap,NA,a little dissatisfied,working class,not satisfied at all,"moderate, middle of the road",a great deal,only some,a great deal,a great deal,only some,only some,only some,a great deal,only some,a great deal,a great deal,only some,a great deal,no,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,did not vote
1998,21,white,female,never married,14,high school,1,NA,8025,midwest,not very strong democrat,working part time,15,1,pretty happy,excellent,protestant,never,don't know,once or twice a week,every day,2,very satisfied,lower class,not satisfied at all,liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",favor,iap,don't know,disagree,strongly disagree,iap,voted
2018,26,black,female,never married,16,bachelor's,2,NA,47317.5,west,"independent (neither, no response)","with a job, but not at work because of temporary illness, vacation, strike",NA,2,pretty happy,good,protestant,never,yes,about once a month,never,2,no answer,working class,pretty well satisfied,extremely liberal,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,refused,"no, neither r nor spouse hunts",oppose,iap,not harshly enough,disagree,strongly disagree,iap,did not vote
2018,32,white,female,married,13,high school,3,18,47317.5,west,not very strong democrat,working full time,40,2,pretty happy,good,catholic,nearly every week,yes,several times a month,never,1,very satisfied,working class,pretty well satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,agree,iap,voted
2018,26,black,female,never married,17,bachelor's,1,NA,9638.75,west,"independent (neither, no response)",working full time,40,1,pretty happy,iap,catholic,several times a year,yes,once or twice a week,never,3,very dissatisfied,working class,more or less satisfied,don't know,only some,only some,only some,hardly any,hardly any,only some,hardly any,hardly any,only some,hardly any,only some,hardly any,only some,iap,iap,iap,iap,should be legal,don't know,disagree,disagree,strongly agree,voted
2018,49,other,male,married,11,less than high school,2,22,57832.5,south,not very strong republican,working full time,75,1,pretty happy,iap,catholic,about once or twice a year,yes,once or twice a week,less than once a week,2,very satisfied,working class,more or less satisfied,"moderate, middle of the road",only some,only some,only some,hardly any,only some,hardly any,hardly any,only some,only some,only some,hardly any,only some,only some,iap,iap,iap,iap,should be legal,not harshly enough,disagree,strongly agree,iap,voted
1998,33,white,female,divorced,13,high school,2,28,48149,south,not very strong republican,working full time,35,2,not too happy,good,protestant,about once a month,yes,once or twice a week,less than once a week,3,a little dissatisfied,working class,more or less satisfied,"moderate, middle of the road",only some,only some,only some,a great deal,hardly any,only some,hardly any,a great deal,only some,only some,a great deal,only some,only some,iap,iap,iap,iap,should not be legal,not harshly enough,agree,strongly agree,iap,did not vote
2018,27,black,male,never married,16,high school,3,NA,22782.5,midwest,not very strong democrat,in school,NA,1,pretty happy,excellent,protestant,several times a year,yes,once or twice a week,never,1,iap,middle class,not satisfied at all,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",favor,iap,too harshly,disagree,strongly disagree,agree,voted
2018,41,white,female,married,14,associate/junior college,2,29,47317.5,midwest,"independent (neither, no response)",keeping house,NA,1,pretty happy,good,none,less than once a year,yes,iap,iap,NA,no answer,middle class,more or less satisfied,"moderate, middle of the road",only some,only some,only some,only some,only some,only some,hardly any,a great deal,only some,only some,a great deal,only some,a great deal,no,no,"no, neither r nor spouse hunts",favor,should be legal,about right,iap,iap,iap,did not vote
1998,34,white,male,married,15,associate/junior college,2,28,535,midwest,strong democrat,working full time,40,1,very happy,good,protestant,nearly every week,yes,iap,iap,2,very satisfied,working class,more or less satisfied,"moderate, middle of the road",only some,a great deal,a great deal,a great deal,only some,only some,only some,a great deal,only some,a great deal,a great deal,hardly any,a great deal,no,no,"yes, respondent does",favor,should not be legal,not harshly enough,iap,iap,iap,voted
1998,56,white,male,married,12,high school,3,31,25412,south,not very strong democrat,retired,NA,1,pretty happy,good,protestant,every week,yes,once or twice a week,a few times a week,4,iap,working class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,no,no,"no, neither r nor spouse hunts",oppose,iap,not harshly enough,agree,don't know,iap,voted
2018,50,white,male,married,16,bachelor's,1,29,112160,south,"independent, close to republican",working full time,45,3,very happy,iap,catholic,2-3 times a month,no,several times a month,a few times a week,1,very satisfied,middle class,more or less satisfied,slightly conservative,only some,only some,only some,only some,only some,only some,only some,a great deal,only some,only some,only some,only some,a great deal,iap,iap,iap,iap,should be legal,about right,disagree,disagree,neither agree nor disagree,did not vote
1998,30,white,female,married,12,high school,4,22,34774,south,not very strong republican,keeping house,NA,2,very happy,good,protestant,several times a week,yes,once or twice a week,every day,2,very satisfied,middle class,not satisfied at all,extremely conservative,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,agree,agree,iap,voted
2018,85,white,male,married,12,high school,1,20,84120,midwest,"independent, close to republican",retired,NA,0,very happy,fair,catholic,less than once a year,yes,iap,iap,NA,iap,middle class,pretty well satisfied,liberal,a great deal,only some,a great deal,a great deal,hardly any,a great deal,hardly any,a great deal,a great deal,a great deal,a great deal,only some,a great deal,yes,yes,"no, neither r nor spouse hunts",oppose,should not be legal,not harshly enough,iap,iap,iap,voted
1998,38,black,female,married,16,bachelor's,6,21,48149,south,not very strong democrat,working full time,40,2,pretty happy,excellent,protestant,several times a week,yes,iap,iap,3,very satisfied,working class,pretty well satisfied,"moderate, middle of the road",hardly any,only some,only some,only some,hardly any,only some,hardly any,a great deal,only some,only some,only some,hardly any,a great deal,no,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
2018,55,white,male,married,14,associate/junior college,2,33,11391.25,midwest,"independent, close to republican","with a job, but not at work because of temporary illness, vacation, strike",NA,3,pretty happy,iap,no answer,several times a week,yes,about once a year,never,2,very satisfied,working class,not satisfied at all,extremely conservative,a great deal,a great deal,don't know,hardly any,only some,a great deal,hardly any,hardly any,hardly any,a great deal,a great deal,only some,a great deal,iap,iap,iap,iap,should not be legal,don't know,disagree,agree,strongly disagree,voted
2018,46,white,female,married,12,high school,6,NA,31544.999999999996,south,"independent, close to democrat",keeping house,NA,2,pretty happy,fair,protestant,never,yes,iap,iap,NA,very satisfied,working class,not satisfied at all,slightly conservative,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,no,no,"yes, both do",oppose,should be legal,too harshly,iap,iap,iap,did not vote
1998,38,white,male,divorced,12,high school,3,NA,NA,south,"independent (neither, no response)","unemployed, laid off, looking for work",NA,0,not too happy,poor,protestant,never,yes,iap,iap,4,moderately satisfied,working class,not satisfied at all,"moderate, middle of the road",only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,only some,no,yes,"yes, respondent does",oppose,should not be legal,not harshly enough,iap,iap,iap,did not vote
1998,67,other,female,divorced,19,graduate,3,36,29424,west,"independent, close to democrat",retired,NA,1,very happy,good,protestant,every week,no,iap,iap,2,iap,working class,more or less satisfied,extremely liberal,a great deal,a great deal,only some,a great deal,only some,only some,hardly any,only some,hardly any,a great deal,a great deal,only some,hardly any,no,no,"no, neither r nor spouse hunts",favor,should be legal,not harshly enough,iap,iap,iap,voted
1998,65,black,female,married,13,high school,1,19,22737,south,not very strong democrat,retired,NA,0,pretty happy,fair,protestant,2-3 times a month,no,several times a year,a few times a week,2,iap,middle class,more or less satisfied,"moderate, middle of the road",iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,iap,yes,no,"no, neither r nor spouse hunts",favor,iap,not harshly enough,disagree,disagree,iap,voted
1998,46,white,female,divorced,12,high school,3,18,25412,midwest,not very strong democrat,working full time,40,1,not too happy,fair,protestant,about once or twice a year,yes,iap,iap,4,very satisfied,working class,not satisfied at all,slightly liberal,only some,only some,hardly any,only some,hardly any,only some,only some,hardly any,only some,only some,hardly any,hardly any,only some,no,no,"no, neither r nor spouse hunts",favor,should not be legal,not harshly enough,iap,iap,iap,voted
2018,52,white,female,married,12,high school,4,23,NA,west,"independent (neither, no response)",keeping house,NA,1,very happy,iap,protestant,several times a week,yes,about once a month,never,0,moderately satisfied,working class,more or less satisfied,"moderate, middle of the road",only some,a great deal,a great deal,only some,only some,only some,hardly any,only some,hardly any,a great deal,only some,only some,a great deal,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,agree,strongly agree,ineligible
2018,44,white,female,married,20,graduate,6,35,98140,west,not very strong republican,working full time,45,2,not too happy,iap,protestant,about once a month,yes,several times a year,less than once a week,1,moderately satisfied,middle class,pretty well satisfied,slightly conservative,only some,a great deal,a great deal,a great deal,hardly any,hardly any,hardly any,only some,hardly any,only some,only some,only some,a great deal,iap,iap,iap,iap,should be legal,don't know,disagree,strongly disagree,neither agree nor disagree,did not vote
1998,48,black,male,married,12,high school,3,29,48149,northeast,not very strong republican,working full time,47,2,pretty happy,good,protestant,every week,yes,about once a month,once a week,2,a little dissatisfied,working class,not satisfied at all,"moderate, middle of the road",a great deal,only some,a great deal,a great deal,only some,only some,only some,a great deal,only some,only some,only some,only some,a great deal,iap,iap,iap,iap,should be legal,about right,disagree,disagree,iap,did not vote
1998,26,white,male,never married,12,associate/junior college,1,NA,48149,midwest,strong democrat,working full time,32,1,pretty happy,good,none,about once or twice a year,no,several times a month,a few times a week,2,very satisfied,working class,more or less satisfied,"moderate, middle of the road",only some,hardly any,hardly any,only some,only some,a great deal,hardly any,only some,hardly any,only some,only some,only some,only some,iap,iap,iap,iap,should not be legal,not harshly enough,disagree,disagree,iap,voted
